order_id,customer_id,order_date,product,quantity,price,total
1,101,2026-01-15,Widget A,2,29.99,59.98
2,102,2026-01-16,Widget B,1,49.99,49.99
3,101,2026-01-17,Gadget X,3,15.50,46.50
4,103,2026-01-18,Widget A,1,29.99,29.99
5,104,2026-01-19,Gadget Y,2,35.00,70.00
6,102,2026-01-20,Widget C,5,12.99,64.95
7,105,2026-01-21,Gadget X,1,15.50,15.50
8,101,2026-01-22,Widget B,2,49.99,99.98
9,106,2026-01-23,Gadget Z,4,25.00,100.00
10,103,2026-01-24,Widget A,1,29.99,29.99
11,101,2026-01-15,Gadget Z,1,25.00,25.00
12,104,2026-01-16,Widget A,3,29.99,89.97
13,105,2026-01-17,Widget B,2,49.99,99.98
14,102,2026-01-18,Gadget X,1,15.50,15.50
15,106,2026-01-19,Widget C,2,12.99,25.98
